name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-07-22T00:00:00,28,32.7,25,83.79,0,0,,0,0,19.8,3.6,155.3,1010,27.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T01:00:00,28,33.9,26.3,90.2,0,0,,0,0,16.6,7.2,118,1010.2,52.7,9.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T02:00:00,28,33.6,26,88.92,0,0,,0,0,14.8,9.4,60,1010,50,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T03:00:00,28,33.6,26,88.92,0,0,,0,0,13,5.4,70,1010,0,6,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T04:00:00,27.5,33,26.7,95.14,0,0,,0,0,11.5,4,130,1010.1,71.3,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T05:00:00,27,31.2,26,94.27,0,0,,0,0,11.2,5.4,80,1010,0,5,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T06:00:00,27,31.2,26,94.27,0,0,,0,0,11.9,9.4,70,1010,0,3,11,0,0,10,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T07:00:00,28.3,34.2,25.9,86.89,0.006,100,rain,0,0,10.8,4.4,128,1010.8,76.7,8.9,142,0.5,1,10,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T08:00:00,30,38.8,27,84.01,0,0,,0,0,10.4,5.4,70,1011,50,7,376,1.4,4,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-07-22T09:00:00,30,36.2,25,74.63,0,0,,0,0,11.2,9.4,250,1011,50,10,588,2.1,6,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
