name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-11-01T00:00:00,23.5,23.5,21,85.88,0,0,,0,0,12.6,1.8,355,1018.5,0,6,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T01:00:00,23.5,23.5,21.5,88.59,0,0,,0,0,8.6,1.1,5,1018.1,52.9,17.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T02:00:00,23,23,21,88.52,0,0,,0,0,6.1,4.5,350,1018,89,6.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T03:00:00,22.5,22.5,21,91.24,0,0,,0,0,6.5,2.7,100,1017.5,40,7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T04:00:00,23.1,23.1,21.7,92.06,0,0,,0,0,4.3,0.4,60,1017.4,80,9.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T05:00:00,23,23,20,83.22,0,0,,0,0,2.2,0.9,138.3,1018,0,8.5,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T06:00:00,23,23,20,83.22,0,0,,0,0,1.4,2.7,57.1,1019,3.7,10,0,0,0,10,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T07:00:00,23.2,23.2,22.1,93.24,0,0,rain,0,0,2.5,0.4,333,1019.5,85.5,5.5,61,0.2,1,10,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T08:00:00,25,25,21,78.5,0,0,rain,0,0,3.2,4.5,300,1020,12.5,7.5,271,1,3,10,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T09:00:00,26.5,26.5,20.5,69.64,0,0,,0,0,3.6,3.6,17.3,1020,0,8.5,484,1.7,5,10,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-01T10:00:00,26.6,26.6,19.9,66.63,0,0,,0,0,4.7,1.2,360,1020,91.7,10,659,2.4,7,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
