name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-02-01T00:00:00,12,12,8,76.52,0,0,,0,0,16.9,13,20,1020,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T01:00:00,12.1,12.1,7.1,71.44,0,0,,0,0,19.1,10.8,6,1020.2,99.9,10,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T02:00:00,12,12,8,76.52,0,0,,0,0,20.5,11.2,10,1020,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T03:00:00,12,12,7,71.47,0,0,,0,0,18,9.4,10,1019,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T04:00:00,12.1,12.1,7.3,72.61,0,0,,0,0,16.2,4.8,332,1019.3,100,10,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T05:00:00,12,12,7,71.47,0,0,,0,0,13.3,5.4,20,1019,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T06:00:00,12,12,7,71.47,0,0,,0,0,11.5,9.4,10,1019,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T07:00:00,12.1,12.1,7.3,72.45,0,0,,0,0,13.7,4.8,330,1020.3,100,10,127.9,0.5,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T08:00:00,12,12,8,76.52,0,0,,0,0,14,11.2,20,1021,100,10,21,0.1,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T09:00:00,13,13,8,71.66,0,0,,0,0,15.5,13,20,1021,100,10,39,0.1,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T10:00:00,13.5,13.5,7.3,66.03,0,0,,0,0,14.4,14.4,43,1021.8,99.9,10.1,63,0.2,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T11:00:00,13,13,7,66.93,0,0,,0,0,11.9,14.8,10,1021,100,10,81,0.3,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T12:00:00,14,14,8,67.15,0,0,,0,0,11.5,14.8,20,1020,100,10,115,0.4,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T13:00:00,14.5,14.5,7.7,63.45,0,0,,0,0,11.2,9.1,331,1019.4,97.7,10.1,506.8,1.8,5,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T14:00:00,14,14,8,67.15,0,0,,0,0,9,9.4,20,1018,89,10,696,2.5,7,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T15:00:00,14,14,8,67.15,0,0,,0,0,6.5,13,40,1017,89,10,643,2.3,6,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T16:00:00,14.5,14.5,7.9,64.65,0,0,,0,0,6.5,11.6,329,1016.7,97.7,10.1,526,1.9,5,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T17:00:00,14,14,9,71.85,0,0,,0,0,9,13,40,1017,100,10,425,1.5,4,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T18:00:00,14,14,9,71.85,0,0,,0,0,10.4,11.2,40,1017,100,10,344,1.2,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T19:00:00,13.7,13.7,8.3,70.12,0,0,,0,0,11.5,8.4,339,1017.6,100,10,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T20:00:00,13,13,9,76.68,0,0,,0,0,10.8,11.2,40,1018,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T21:00:00,13,13,8,71.66,0,0,,0,0,9.7,11.2,50,1019,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T22:00:00,12.9,12.9,8.3,73.67,0,0,,0,0,9.7,7.6,328,1019.6,100,10,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-01T23:00:00,12,12,8,76.52,0,0,,0,0,10.4,13,30,1020,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-02-02T00:00:00,12,12,9,81.88,0,0,,0,0,9.7,11.2,20,1019,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
