name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-02-02T00:00:00,20,20,17,82.87,0,0,,0,0,21.6,7.6,120,1015,100,8,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T01:00:00,19.7,19.7,17.3,85.89,0,0,,0,0,19.1,3.8,174,1014.3,99.9,9.4,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T02:00:00,20,20,17,82.87,0.1,100,rain,0,0,16.6,0,0,1014,100,6,0,0,0,10,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T03:00:00,19,19,17,88.19,0,0,rain,0,0,13.7,0,360,1014,100,6,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T04:00:00,19.1,19.1,17.1,88.26,0,0,,0,0,10.8,3.2,140,1014,100,9.2,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T05:00:00,20,20,17,82.87,0,0,rain,0,0,9.7,1.8,119.7,1014,88,6,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
"Hà Nội, Giải Phóng",2023-02-02T06:00:00,19,19,18,93.93,0,0,rain,0,0,8.6,1.8,109.6,1015,89,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T07:00:00,19.5,19.5,17.7,88.9,0,0,,0,0,6.8,0,107.7,1015.9,100,9.9,1,0,0,10,Overcast,cloudy,"48823099999,48825099999"
"Hà Nội, Giải Phóng",2023-02-02T08:00:00,20.1,20.1,17.6,85.54,0,0,,0,0,5.8,4.3,106.2,1016,100,24.1,24,0.1,0,10,Overcast,cloudy,remote
"Hà Nội, Giải Phóng",2023-02-02T09:00:00,20,20,18,88.27,0.1,100,rain,0,0,4,5.4,300,1017,89,3,75,0.3,1,10,"Rain, Partially cloudy",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T10:00:00,20.9,20.9,18.1,84.44,0,0,,0,0,3.6,7.3,274,1018,97.8,8.6,137,0.5,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T11:00:00,21,21,18,82.99,0,0,,0,0,6.1,9.4,310,1018,89,4,195,0.7,2,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T12:00:00,22,22,18,78.06,0,0,,0,0,7.6,5.4,300,1017,100,4,233,0.8,2,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T13:00:00,22,22,18.1,78.16,0,0,,0,0,9,6.8,319,1015.3,100,8.6,233,0.8,2,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T14:00:00,22,22,18,78.06,0.1,100,rain,0,0,11.5,1.8,114.8,1014,89,3,205,0.7,2,10,"Rain, Partially cloudy",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T15:00:00,23,23,18,73.46,0,0,rain,0,0,15.5,7.6,130,1014,89,3,160,0.6,2,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T16:00:00,22.3,22.3,18.1,77.29,0,0,,0,0,16.9,1.6,149,1014,97.8,8.4,61,0.2,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T17:00:00,22,22,18,78.06,0,0,rain,0,0,16.6,9.4,140,1014,89,2,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T18:00:00,22,22,19,83.11,0.2,100,rain,0,0,16.6,9.4,170,1015,100,3,3,0,0,10,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T19:00:00,21.4,21.4,19.7,89.77,0,0,rain,0,0,18,1.1,185,1015.4,100,8.8,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T20:00:00,21,21,19,88.35,0,0,rain,0,0,20.5,7.6,130,1016,100,3,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T21:00:00,21,21,19,88.35,0.1,100,rain,0,0,20.9,3.6,120,1017,100,3,0,0,0,10,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T22:00:00,21.1,21.1,19.5,90.65,0,0,,0,0,19.8,0.8,223,1017,100,8.5,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-02T23:00:00,21,21,19,88.35,0,0,rain,0,0,19.8,3.6,142.4,1017,89,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T00:00:00,21,21,20,94.02,0,0,,0,0,19.8,5.4,190,1016,89,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T01:00:00,20.7,20.7,19.3,91.52,0.003,100,rain,0,0,20.9,3.6,182,1016.1,97.8,3.8,0,0,0,10,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T02:00:00,21,21,19,88.35,0,0,,0,0,17.3,5.4,230,1015,89,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T03:00:00,20,20,19,93.97,0,0,rain,0,0,13,3.6,131,1015,89,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T04:00:00,20.4,20.4,19.5,94.29,0,0,rain,0,0,12.6,4,311,1015.2,97.8,3.5,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-02-03T05:00:00,20,20,20,100,0,0,rain,0,0,12.6,3.6,146.8,1015,88,2,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
"Hà Nội, Giải Phóng",2023-02-03T06:00:00,20,20,20,100,0,0,rain,0,0,20.2,5.4,200,1016,89,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
