name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-04-04T00:00:00,25,25,24,94.19,0,0,,0,0,28.1,14.8,110,1006,100,5,0,0,0,5,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T01:00:00,25,25,23.5,91.13,0,0,,0,0,28.8,8,132,1005.2,100,8.8,0,0,0,5,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T02:00:00,25,25,24,94.19,0,0,,0,0,27,9.4,100,1005,100,5,0,0,0,5,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T03:00:00,25,25,23,88.68,0,0,,0,0,19.8,13,120,1004,100,7,0,0,0,5,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T04:00:00,24.9,24.9,23.1,90.03,0,0,,0,0,16.9,8.6,138,1003.9,97.8,9,0,0,0,5,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T05:00:00,24,24,23,94.15,0,0,,0,0,16.9,9.4,100,1004,89,6,0,0,0,5,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T06:00:00,24,24,23,94.15,0,0,,0,0,15.8,7.6,60,1005,100,5,0,0,0,5,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T07:00:00,24.7,24.7,22.9,89.6,0,0,,0,0,9.4,6.8,126,1005.8,89.9,3.9,41,0.1,0,5,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T08:00:00,25,25,23,88.68,0,0,,0,0,6.8,9.4,130,1007,89,4,145,0.5,1,5,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T09:00:00,26,26,23,83.57,0,0,,0,0,8.3,11.2,130,1006,89,5,319,1.1,3,3,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-04-04T10:00:00,27.7,30.9,23.3,77.08,0,0,,0,0,11.9,7.6,168,1006.2,89.8,9,752,2.7,8,8,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
