name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-09-01T00:00:00,29,35.6,26,83.9,0,0,,0,0,20.2,6.5,90,1008,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T01:00:00,29.3,37.6,27.1,87.63,0,0,,0,0,10.1,9.8,117,1008.1,35,9.8,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T02:00:00,28,33.6,26,88.92,0,0,,0,0,5.8,6.5,50,1008,0,7.5,0,0,0,30,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T03:00:00,28,33.6,26,88.92,0,0,,0,0,4.7,4.5,25,1007.5,40,7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T04:00:00,28.1,34.7,26.8,92.69,0,0,,0,0,2.2,3.6,269,1007.5,8.4,9.2,0,0,0,30,Clear,clear-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T05:00:00,28,33.6,26,88.92,0,0,,0,0,1.4,5.4,35,1008,0,7,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T06:00:00,28,33.6,26,88.92,0,0,rain,0,0,3.6,3.6,320,1008.5,50,5,3,0,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T07:00:00,28,34.4,26.9,94,0,0,rain,0,0,50,7.3,341,1009.7,97.8,9.9,80,0.3,1,30,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T08:00:00,25,25,24,94.19,0,0,rain,0,0,27.7,10.3,60,1011,70,8,192,0.7,2,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T09:00:00,26.5,26.5,25.5,94.25,0,0,,0,0,29.2,10.3,345,1011,89,10,453,1.6,5,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T10:00:00,27.5,31.7,25,86.27,0,0,,0,0,25.9,4.5,25.8,1011,37.5,10,686,2.5,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T11:00:00,29.5,36,25.5,79.13,0,0,rain,0,0,25.9,4.5,310,1011,69,10,635,2.3,6,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-09-01T12:00:00,30,36.2,25,74.63,0,0,,0,0,23.4,12.1,320,1010,89,10,892,3.2,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
