name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-03-01T00:00:00,20,20,15,72.94,0,0,,0,0,25.2,7.6,130,1016,89,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T01:00:00,19.7,19.7,15.6,77.32,0,0,,0,0,20.5,7.2,112,1015.8,89.8,9.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T02:00:00,20,20,15,72.94,0,0,,0,0,18.7,5.4,140,1015,89,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T03:00:00,20,20,15,72.94,0,0,,0,0,14,5.4,140,1015,100,8,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T04:00:00,19.4,19.4,16.3,82.19,0,0,,0,0,13.3,7,109,1015.3,100,9.4,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T05:00:00,19,19,16,82.75,0,0,,0,0,15.1,9.4,130,1015,100,6,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T06:00:00,19,19,15,77.62,0,0,,0,0,13.7,9.4,130,1016,100,6,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T07:00:00,19.1,19.1,17.3,89.28,0,0,,0,0,9.7,5.2,122,1017.3,97.8,4.1,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T08:00:00,20,20,16,77.77,0,0,rain,0,0,6.5,5.4,140,1018,89,3,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T09:00:00,20,20,16,77.77,0,0,,0,0,5,1.8,112.4,1018,89,3,51,0.2,1,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T10:00:00,20.5,20.5,16.9,79.89,0,0,,0,0,3.6,2,340,1018.9,97.8,8.6,77,0.3,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T11:00:00,21,21,17,77.92,0,0,,0,0,6.1,3.6,95.2,1018,89,3,116,0.4,1,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T12:00:00,22,22,17,73.29,0.1,100,rain,0,0,8.6,3.6,106.2,1017,89,3,173,0.6,2,10,"Rain, Partially cloudy",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T13:00:00,22,22,17.3,74.65,0,0,rain,0,0,9.7,5.2,52,1016.2,97.8,8.6,,,,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T14:00:00,22,22,17,73.29,0,0,,0,0,9.7,7.6,60,1015,89,3,296,1.1,3,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-03-01T15:00:00,22,22,18,78.06,0,0,,0,0,10.8,13,90,1015,89,3,238,0.9,2,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
