name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-07-01T00:00:00,28,33.6,26,88.92,0,0,,0,0,6.1,3.6,350,1002,0,7.5,0,0,0,30,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T01:00:00,27.7,32.8,25.9,89.88,0,0,,0,0,3.2,1.1,18,1002.1,38.9,9.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T02:00:00,27.5,31,24,81.26,0,0,,0,0,3.2,6.5,15,1001,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T03:00:00,27,30.1,24,83.68,0,0,,0,0,5,7.4,10,1001,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T04:00:00,27.1,30.2,23.7,81.64,0,0,,0,0,5,1.5,296,1001.6,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T05:00:00,27,30.6,25,88.84,0,0,,0,0,7.2,8.3,320,1002,70,9.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T06:00:00,27,30.6,25,88.84,0,0,,0,0,11.2,7.6,320,1002.5,59,10,14,0.1,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T07:00:00,27.3,31.2,25.1,88.17,0.148,100,rain,0,0,15.5,8.1,353,1002.8,85.7,10.1,117,0.4,1,10,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T08:00:00,28.5,33.6,25,81.39,0,0,rain,0,0,17.6,10.3,300,1003,37.5,10,260,0.9,3,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T09:00:00,29.5,36,25.5,79.13,0,0,,0,0,18.7,9.4,305,1003,59,10,552,2,6,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T10:00:00,29.2,35,25.1,78.43,0,0,,0,0,18.4,7.6,321,1003.1,82.1,10,736,2.6,7,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T11:00:00,31,39.1,26,74.79,0,0,rain,0,0,18,10.3,275,1002,89,10,872,3.1,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T12:00:00,31.5,39.9,26,72.69,0,0,rain,0,0,16.2,14.8,285,1001.5,59,10,885,3.2,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T13:00:00,33,40.9,25.2,63.53,0.119,100,rain,0,0,15.1,7.9,319,1000.9,77.1,10.3,704,2.5,7,30,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T14:00:00,30,36.2,25,74.62,0,0,,0,0,11.9,16.6,10,1000,57.5,5.5,344,1.2,3,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T15:00:00,29,35.6,26,83.9,0,0,,0,0,11.9,9.4,270,999,59,7,697,2.5,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T16:00:00,33,40.1,24.6,61.72,0,0,,0,0,12.6,7.6,318,998.1,85.2,10.1,428,1.5,4,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T17:00:00,29,35.1,25.5,81.44,0,0,,0,0,14,14.8,305,998,78.9,10,263,0.9,3,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T18:00:00,29,35.6,26,83.9,0,0,rain,0,0,15.8,9.4,300,998,75.6,10,151,0.5,2,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T19:00:00,30.3,35.3,23.7,67.95,0.044,100,rain,0,0,6.5,3.8,350,998.9,91.6,10.1,13,0,0,30,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T20:00:00,28.5,33.6,25,81.38,0,0,,0,0,5.8,4.5,310,999.5,95,10,0,0,0,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T21:00:00,28,32.7,25,83.79,0,0,,0,0,7.2,5.6,300,1000.5,86,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T22:00:00,29.2,34.7,24.8,76.88,0,0,,0,0,8.3,9.6,321,1001.1,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-01T23:00:00,27.5,32,25.5,88.88,0,0,,0,0,10.4,7.4,285,1001,99,10,0,0,0,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T00:00:00,27.5,31.7,25,86.27,0,0,,0,0,10.8,7.6,280,1000,93.7,10,0,0,0,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T01:00:00,28.1,33.6,25.8,87.66,0,0,,0,0,12.6,4.1,353,999.2,90,10.1,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T02:00:00,27,30.6,25,88.84,0,0,,0,0,17.6,8.5,295,998,98.6,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T03:00:00,26.5,26.5,25,91.49,0,0,,0,0,23.4,6.5,305,998,98.9,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T04:00:00,27.8,33.1,25.9,89.29,0,0,,0,0,25.6,7.5,344,998.2,0,9.8,0,0,0,3,Clear,clear-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T05:00:00,26.5,26.5,25,91.49,0,0,,0,0,27.7,10.3,290,998,90.6,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T06:00:00,27,30.6,25,88.84,0.1,100,rain,0,0,26.6,8.5,300,998,91.2,10,19,0.1,0,10,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T07:00:00,28.5,34.2,25.5,83.74,0,0,,0,0,28.4,11.2,272,998.7,79.3,10.3,175,0.6,2,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T08:00:00,29.5,36.5,26,81.51,0,0,,0,0,27.7,16.6,285,998.5,34.1,10,393,1.4,4,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T09:00:00,31.5,39.9,26,72.69,0,0,,0,0,24.5,21.4,290,998.5,41.4,10,602,2.2,6,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T10:00:00,33.4,41.6,25.4,62.92,0,0,,0,0,22.3,9.9,275,998.6,80,10.1,775,2.8,8,60,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T11:00:00,34,45.3,27,66.98,0.1,100,rain,0,0,21.2,16.6,295,997.5,98.8,10,882,3.2,9,30,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T12:00:00,35,45.8,26.5,61.52,0,0,,0,0,20.2,15.7,290,997,27.5,10,928,3.3,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T13:00:00,36.1,42.9,23.7,49.03,0,0,,0,0,19.8,12,345,996.3,79.4,10.7,940,3.4,9,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T14:00:00,35.5,44.8,25.5,56.4,0,0,,0,0,17.3,19.4,295,994.5,100,10,718,2.6,7,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T15:00:00,36,45.4,25.5,54.87,0,0,,0,0,14.8,19.4,295,994,99.5,10,389,1.4,4,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T16:00:00,37.2,41.5,21.2,39.54,0,0,,0,0,12.2,9.1,351,996.4,89.9,10.1,249,0.9,2,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T17:00:00,35,43.3,25,56.28,0,0,,0,0,13.7,5.6,300,994,100,10,73,0.3,1,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T18:00:00,33,42.1,26,66.78,0,0,,0,0,10.4,9.4,350,994,0,6,119,0.4,1,60,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T19:00:00,33.1,39.8,24.4,60.34,0,0,,0,0,5,8.2,12,995.2,77.4,9.6,7,0,0,60,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T20:00:00,27,30.1,24,83.68,0,0,,0,0,53.6,27.9,60,998.5,89,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T21:00:00,26,26,24,88.76,1.2,100,rain,0,0,33.5,12.1,335,999,69,7.5,0,0,0,8,"Rain, Partially cloudy",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T22:00:00,27.9,32,24.4,81.51,0,0,,0,0,18.4,4,4,998.9,87.7,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-02T23:00:00,26,26,24,88.76,0.8,100,rain,0,0,15.5,8.3,60,998,88,10,0,0,0,3,"Rain, Partially cloudy",rain,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T00:00:00,27,30.3,24.5,86.22,0,0,,0,0,16.2,9.4,225,998,100,10,0,0,0,8,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T01:00:00,27.3,31.3,25,87.47,0.79,100,rain,0,0,7.6,5.1,312,998.1,89.2,10,0,0,0,3,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T02:00:00,26,26,25,94.23,0,0,,0,0,2.2,4.5,190.7,997,97.5,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T03:00:00,26,26,25,94.23,0,0,,0,0,3.6,5.4,325,997,100,10,0,0,0,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T04:00:00,27.1,31,25.3,89.75,0,0,,0,0,3.6,0.4,302,997.1,30.7,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T05:00:00,27,30.1,24,83.68,0,0,,0,0,4.3,7.6,245,997.5,100,10,0,0,0,8,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T06:00:00,27,30.3,24.5,86.22,0,0,,0,0,5.4,7.4,230,998,100,10,11,0,0,8,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T07:00:00,28.3,33.3,25.1,83.14,0,0,,0,0,7.6,7,310,998.7,89.7,10.7,31,0.1,0,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T08:00:00,29.5,35.4,25,76.81,0,0,,0,0,11.2,7.6,255,999,100,10,192,0.7,2,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T09:00:00,31,39.1,26,74.79,0,0,,0,0,10.8,8.5,310,999,100,10,583,2.1,6,60,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T10:00:00,32.9,41.8,25.9,66.54,0,0,,0,0,11.9,5.2,352,999,80,10.1,757,2.7,8,60,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T11:00:00,33.5,42.8,26,64.93,0,0,,0,0,9.7,8.5,270,998.5,100,10,885,3.2,9,60,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T12:00:00,34.5,46,27,65.14,0,0,,0,0,7.9,8.5,320,997.5,99.3,10,932,3.4,9,60,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T13:00:00,35.5,45.4,25.9,57.72,0,0,,0,0,7.2,6.7,93,997.2,79.6,18,922,3.3,9,60,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T14:00:00,36.5,47.9,26.5,56.64,0,0,,0,0,5.8,8.5,330,996,30,10,886,3.2,9,60,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T15:00:00,36.5,47.9,26.5,56.64,0,0,,0,0,4,9.4,235,995,40,10,778,2.8,8,60,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T16:00:00,37.3,44.6,23.8,46.35,0,0,,0,0,4.7,6.9,177,995.2,89.3,18,607,2.2,6,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T17:00:00,36,44.7,25,53.26,0,0,,0,0,5.4,6.5,230,995,99.7,10,390,1.4,4,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T18:00:00,35.5,44.8,25.5,56.4,0,0,,0,0,25.9,11,175,995.5,30,10,144,0.5,1,60,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T19:00:00,30.6,39.1,26.4,78.49,1.97,100,rain,0,0,34.2,10.7,101,996.8,46.4,10.1,9,0,0,8,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T20:00:00,32,38.5,24.5,64.62,0,0,,0,0,33.8,10.3,150,997,100,10,0,0,0,8,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T21:00:00,32,39.9,25.5,68.59,0,0,,0,0,32,8.5,130,997.5,100,10,0,0,0,8,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T22:00:00,30.6,40.4,27.3,82.92,0,0,,0,0,28.1,8,130,998.1,40.9,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-03T23:00:00,30,37.4,26,79.2,0,0,,0,0,24.1,11.2,70,998,100,10,0,0,0,15,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-07-04T00:00:00,30,38.1,26.5,81.57,0.1,100,rain,0,0,20.2,10.3,80,997.5,100,10,0,0,0,15,"Rain, Overcast",rain,"48820099999,VVNB"
