name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-11-01T00:00:00,22,22,15,64.5,0,0,,0,0,15.1,4.5,340,1016,42.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T01:00:00,21.6,21.6,15.5,68.2,0,0,,0,0,11.5,7,353,1015.1,40,10.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T02:00:00,21,21,14,64.29,0,0,,0,0,17.3,2.7,344.6,1015,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T03:00:00,21.5,21.5,14,62.35,0,0,,0,0,17.6,12.1,320,1015,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T04:00:00,21.9,21.9,14.7,63.5,0,0,,0,0,17.3,11.2,284,1014.8,0,10,0,0,0,10,Clear,clear-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T05:00:00,22.5,22.5,12,51.47,0,0,,0,0,18,10.3,330,1015,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T06:00:00,21.5,21.5,12.5,56.53,0,0,,0,0,22.7,6.5,345,1016,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T07:00:00,21,21,16.4,74.8,0,0,,0,0,23.4,7,276,1017.1,2,10.7,53,0.2,1,10,Clear,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T08:00:00,24.5,24.5,14,52,0,0,,0,0,26.3,6.5,305,1018,100,10,241,0.9,2,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T09:00:00,26.5,26.5,14,46.17,0,0,,0,0,28.1,13.9,320,1018,100,10,421,1.5,4,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T10:00:00,27.2,27.2,13.3,42.14,0,0,,0,0,28.8,11.7,288,1017.3,89.6,10.1,572,2.1,6,10,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T11:00:00,28.5,27.7,11,33.73,0,0,,0,0,27.7,20.5,350,1016,100,10,683,2.5,7,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T12:00:00,29,28,11,32.77,0,0,,0,0,23.8,19.4,345,1014.5,100,10,742,2.7,7,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T13:00:00,29.4,28.2,10,29.89,0,0,,0,0,22.7,10.8,328,1013.2,30.3,18.4,724,2.6,7,10,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-11-01T14:00:00,30,29,12,33.05,0,0,,0,0,38.9,17.5,360,1011.5,100,10,624,2.2,6,10,Overcast,cloudy,"48820099999,VVNB"
