name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-08-01T00:00:00,26,26,25,94.23,0,0,,0,0,2.5,5.4,30,1005,89,7,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T01:00:00,26.5,26.5,25.8,96.03,0.044,100,rain,0,0,0.7,3.9,10,1004,97.8,9.2,0,0,0,30,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T02:00:00,26,26,25,94.23,0,0,,0,0,2.2,7.6,30,1003,27.5,5,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T03:00:00,26,26,25,94.23,0,0,,0,0,1.8,7.6,70,1003,89,5,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T04:00:00,26.1,26.1,25.3,95.16,0,0,,0,0,3.2,6.8,126,1003.2,97.8,9,0,0,0,30,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T05:00:00,26,26,25,94.23,0,0,rain,0,0,2.5,7.6,40,1003,89,3,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T06:00:00,26,26,25,94.23,0,0,rain,0,0,4.3,5.4,40,1003,50,3,7,0,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T07:00:00,26.6,26.6,25.6,94.29,0.326,100,rain,0,0,6.1,1.1,60,1003.7,97.8,9,47,0.2,0,30,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T08:00:00,28,33.6,26,88.92,0,0,,0,0,1.8,5.4,190,1004,89,10,134,0.5,1,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T09:00:00,28,33.6,26,88.92,0,0,rain,0,0,7.2,5.4,350,1004,89,5,378,1.4,4,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T10:00:00,29.2,36.1,26,83.02,0,0,,0,0,9.7,1.2,339,1004.3,92.1,9,266,1,3,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T11:00:00,29,35.6,26,83.9,0,0,,0,0,10.1,11.2,40,1004,89,5,213,0.8,2,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-08-01T12:00:00,30,37.4,26,79.2,0,0,,0,0,9.4,9.4,360,1003,50,8,314,1.1,3,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
