name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-08-01T00:00:00,28,33.1,25.5,86.32,0,0,,0,0,16.6,8.5,65,1005,100,9.5,0,0,0,30,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T01:00:00,28,34,26.5,91.29,0,0,,0,0,13.3,1,70,1004.4,32,10.1,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T02:00:00,27,31.2,26,94.27,0,0,rain,0,0,11.9,6.5,35,1004,57.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T03:00:00,27,31.2,26,94.27,0,0,rain,0,0,11.5,9.4,75,1003.5,50,7.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T04:00:00,26.9,30.7,25.4,91.52,0,0,,0,0,9.4,10.7,134,1003.8,52.4,9.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T05:00:00,26,26,24.5,91.46,0,0,,0,0,6.5,11.2,55,1004,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T06:00:00,26,26,24,88.76,0,0,,0,0,3.6,10.3,60,1004.5,90,10,8,0,0,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T07:00:00,27.3,31.3,25.1,87.63,0,0,,0,0,3.6,7.5,102,1004.8,83.1,10.2,148,0.5,1,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T08:00:00,27.5,31.7,25,86.27,0,0,,0,0,3.6,12.1,50,1006,27.5,10,367,1.3,4,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T09:00:00,29.5,35.4,25,76.81,0,0,,0,0,5.4,12.1,50,1006,6.8,10,581,2.1,6,30,Clear,clear-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T10:00:00,30.4,36.6,24.8,72.41,0,0,,0,0,7.2,7.6,84,1005.6,39.1,10.1,763,2.7,8,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T11:00:00,31.5,38.5,25,68.5,0,0,,0,0,10.8,8.5,60,1005.5,40,10,887,3.2,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T12:00:00,33,42.1,26,66.78,0,0,,0,0,13,11.2,90,1005,27.5,10,938,3.4,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T13:00:00,34,42.4,25.2,60.26,0.133,100,rain,0,0,13.7,10.9,107,1003.9,32.4,10,878,3.2,9,30,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T14:00:00,33.5,41.3,25,61.19,0,0,,0,0,15.1,13,100,1003,37.5,10,706,2.5,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T15:00:00,31,37.7,25,70.47,0,0,,0,0,38.9,20.3,140,1003,50,10,377,1.4,4,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T16:00:00,29.1,35.5,25.7,82.16,0,0,,0,0,25.6,11,160,1002.6,73.3,10.1,188,0.7,2,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T17:00:00,30,36.2,25,74.63,0,0,rain,0,0,26.3,11.2,185,1002,71.3,10,231,0.8,2,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-08-01T18:00:00,30,36.2,25,74.63,0,0,,0,0,29.2,7.6,170,1002,9.4,10,116,0.4,1,30,Clear,clear-day,"48820099999,VVNB"
