name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2023-11-15T00:00:00,19,19,14.5,75.16,0,0,,0,0,6.1,6.5,40,1022,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T01:00:00,19.5,19.5,14.9,74.54,0,0,,0,0,5.8,4.2,337,1021.2,100,10.1,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T02:00:00,19,19,15,77.62,0,0,,0,0,6.5,8.5,40,1021,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T03:00:00,19,19,14.5,75.16,0,0,,0,0,7.6,10.3,35,1020,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T04:00:00,19,19,14,72.75,0,0,,0,0,8.3,11.2,50,1020,100,10,0,0,0,10,Overcast,cloudy,VVNB
"Hà Nội, Giải Phóng",2023-11-15T05:00:00,19,19,15,77.62,0,0,,0,0,8.6,7.6,30,1020.5,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T06:00:00,18,18,15,82.63,0,0,,0,0,8.6,8.5,10,1021,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T07:00:00,18.9,18.9,15.1,78.68,0,0,,0,0,6.5,7.6,331,1021.3,100,10.1,5,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T08:00:00,19,19,15,77.62,0,0,,0,0,3.6,8.3,30,1022,100,10,61,0.2,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T09:00:00,19,19,15,77.62,0,0,,0,0,3.2,10.3,20,1023,100,10,171,0.6,2,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T10:00:00,20.5,20.5,15.6,73.55,0,0,,0,0,3.2,4.2,330,1022.5,100,10,318,1.1,3,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T11:00:00,20,20,16,77.77,0,0,,0,0,5.4,6.5,20,1022,100,10,568,2,6,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T12:00:00,21,21,16,73.11,0,0,,0,0,6.5,7.6,360,1021,100,10,560,2,6,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T13:00:00,21.9,21.9,15.6,67.5,0,0,,0,0,7.9,1.2,59,1020.2,100,10.1,243,0.9,2,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T14:00:00,21.5,21.5,16.5,73.2,0,0,,0,0,9,8.5,55,1019,100,9.5,115,0.4,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T15:00:00,21,21,17,77.92,0,0,,0,0,9.7,8.5,25,1019,95,8,139,0.5,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T16:00:00,21.8,21.8,16.7,72.78,0,0,,0,0,10.4,1.2,45,1019.2,98.7,9.3,125,0.5,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T17:00:00,21,21,17.5,80.42,0,0,,0,0,6.5,5.4,60,1020,100,6.5,35,0.1,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T18:00:00,20.5,20.5,17.5,82.93,0,0,,0,0,4,6.5,60,1020,100,7,1,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T19:00:00,20.9,20.9,17.7,81.5,0,0,,0,0,6.5,1.7,38,1020.5,83.5,9.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T20:00:00,20,20,18,88.27,0,0,,0,0,5.4,3.6,50,1021,0,6,0,0,0,10,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T21:00:00,20,20,18,88.27,0,0,,0,0,5,5.4,340,1022,89,7.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T22:00:00,20.8,20.8,18.3,85.29,0,0,,0,0,7.2,3.6,359,1022.4,97.8,9.6,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-15T23:00:00,21,21,18,82.99,0,0,,0,0,9.7,6.5,45,1023,94,8,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T00:00:00,21,21,18,82.99,0,0,,0,0,12.6,6.5,30,1023,100,8.5,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T01:00:00,21,21,18.5,85.59,0,0,,0,0,17.6,8,359,1022.7,100,9.8,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T02:00:00,19.5,19.5,18,91.05,0,0,,0,0,23,16.6,10,1023,100,6.5,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T03:00:00,18.5,18.5,18,96.91,0,0,rain,0,0,33.5,15.7,30,1024,100,6,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T04:00:00,18.5,18.5,17.3,92.53,0,0,rain,0,0,49,11.7,8,1024.1,99,9.7,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T05:00:00,18,18,17,93.88,0,0,rain,0,0,51.5,18.4,30,1025,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T06:00:00,19,19,16.5,85.43,0,0,rain,0,0,52.6,15.7,30,1026.5,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T07:00:00,19,19,12.4,65.64,0.044,100,rain,0,0,54,14,7,1027.2,100,10.1,1,0,0,10,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T08:00:00,19.5,19.5,12,61.89,0,0,rain,0,0,55.4,25.9,20,1028.5,100,10,8,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T09:00:00,20,20,11.5,58.05,0,0,,0,0,46.4,25,10,1029.5,100,10,16,0.1,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T10:00:00,20.4,20.4,10.3,52.36,0,0,,0,0,54.7,20.4,20,1029.7,100,10,29,0.1,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T11:00:00,20,20,11,56.16,0,0,,0,0,53.6,16.6,355,1029,100,10,49,0.2,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T12:00:00,21.5,21.5,11,51.21,0,0,,0,0,53.3,19.4,350,1028,100,10,99,0.4,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T13:00:00,21.7,21.7,9.3,45.22,0,0,,0,0,44.6,12.8,326,1027.1,99.7,10.5,147,0.5,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T14:00:00,22.5,22.5,11,48.18,0,0,,0,0,42.8,18.4,340,1026.5,100,10,183,0.7,2,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T15:00:00,23,23,11,46.74,0,0,,0,0,39.6,16.6,345,1026,100,10,126,0.5,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2023-11-16T16:00:00,22.4,22.4,9.7,44.5,0,0,,0,0,32,8.2,324,1026.3,90.1,10,75,0.3,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
