name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-04-01T00:00:00,20,20,18,88.27,0,0,,0,0,50.8,31.7,30,1018,100,5,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T01:00:00,20.9,20.9,17.7,81.85,3.953,100,rain,0,0,44.3,16.1,332,1017.7,97.8,10,0,0,0,10,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T02:00:00,20,20,17,82.87,0,0,rain,0,0,40.7,18.4,10,1018,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T03:00:00,21,21,17,77.92,0,0,rain,0,0,41,18.4,360,1017,100,10,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T04:00:00,19.6,19.6,17.8,89.27,0,0,,0,0,39.6,12.3,328,1017.5,100,5.3,0,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T05:00:00,20,20,17,82.87,0,0,,0,0,36,13,350,1018,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T06:00:00,19,19,17,88.19,0,0,,0,0,34.2,16.6,350,1019,100,7,0,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T07:00:00,18.7,18.7,17.7,93.61,21.855,100,rain,0,0,36.4,8.7,355,1020.3,97.8,8.9,2,0,0,10,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T08:00:00,18,18,17,93.88,0,0,rain,0,0,37.8,18.4,340,1021,100,6,9,0,0,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T09:00:00,19,19,17,88.19,0,0,rain,0,0,41.4,16.6,320,1023,89,10,11,0,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T10:00:00,18.3,18.3,16.9,91.54,0,0,,0,0,45,12,324,1023.5,97.8,10,39,0.1,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T11:00:00,19,19,15,77.62,0,0,,0,0,47.2,18.4,350,1024,100,10,143,0.5,1,10,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T12:00:00,18,18,16,88.1,0,0,,0,0,46.1,14.8,330,1024,89,9,117,0.4,1,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-04-01T13:00:00,17.3,17.3,15.5,88.96,7.985,100,rain,0,0,40.3,13.9,356,1022.4,97.8,9.7,33,0.1,0,10,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
